lenderNames,productNames,loanAmtLenderMax2,minLenderCreditScore2,state,veteran,foreclosure,capacity
Lender 246,ReFi,290000,760,New York,Yes,No,26
Lender 89,ReFi,280000,650,Georgia,No,Yes,0
Lender 370,Auto,320000,670,Idaho,Yes,No,32
Lender 188,Home Equity,300000,710,New York,No,No,23
Lender 353,Home Equity,290000,570,California,No,Yes,0
Lender 290,Purchase,230000,640,Tennessee,No,Yes,16
Lender 57,Auto,260000,670,Oregon,Yes,No,20
Lender 238,Home Equity,280000,670,Idaho,Yes,No,2
Lender 6,Purchase,290000,770,North Dakota,Yes,No,13
Lender 217,Purchase,300000,730,Alabama,No,Yes,48
Lender 306,Purchase,190000,690,Oklahoma,Yes,No,2
Lender 394,Home Equity,300000,730,Wisconsin,No,No,32
Lender 242,Auto,350000,670,Texas,Yes,No,22
Lender 343,Home Equity,290000,640,South Carolina,Yes,Yes,3
Lender 126,Auto,300000,700,Illinois,No,Yes,17
Lender 74,Purchase,240000,730,West Virginia,No,No,25
Lender 259,Home Equity,300000,660,Arizona,Yes,Yes,21
Lender 16,Auto,290000,640,Connecticut,No,No,39
Lender 4,Purchase,370000,680,Georgia,No,Yes,12
Lender 232,Purchase,300000,670,Georgia,No,Yes,44
Lender 351,ReFi,280000,630,Minnesota,No,Yes,41
Lender 212,Auto,280000,660,Wisconsin,Yes,Yes,23
Lender 332,Auto,340000,690,Illinois,Yes,Yes,0
Lender 81,Purchase,310000,620,Arizona,No,Yes,39
Lender 335,Home Equity,300000,570,Louisiana,Yes,Yes,12
Lender 184,Purchase,320000,730,New Jersey,No,Yes,9
Lender 332,ReFi,370000,760,Arkansas,Yes,Yes,13
Lender 389,ReFi,330000,670,Arizona,Yes,No,12
Lender 70,Purchase,320000,620,Alaska,No,Yes,48
Lender 9,Auto,320000,620,Georgia,No,Yes,25
Lender 38,Auto,320000,660,Iowa,Yes,Yes,16
Lender 395,ReFi,300000,680,Colorado,No,No,8
Lender 180,Home Equity,320000,640,Oregon,Yes,No,21
Lender 199,Purchase,300000,670,Nevada,Yes,No,25
Lender 385,Home Equity,360000,610,Utah,No,Yes,9
Lender 142,Auto,280000,630,Arkansas,No,Yes,10
Lender 153,Home Equity,260000,700,Virginia,Yes,Yes,33
Lender 327,ReFi,350000,660,Pennsylvania,Yes,No,50
Lender 281,Auto,330000,640,Kentucky,No,Yes,5
Lender 19,Home Equity,280000,720,Indiana,No,Yes,16
Lender 172,Home Equity,270000,660,New Hampshire,No,Yes,15
Lender 276,Purchase,330000,740,Indiana,Yes,No,26
Lender 45,Purchase,310000,660,Iowa,Yes,Yes,12
Lender 140,ReFi,310000,580,Pennsylvania,Yes,Yes,19
Lender 387,ReFi,330000,700,Texas,No,Yes,1
Lender 391,Purchase,340000,730,Pennsylvania,Yes,No,8
Lender 177,Purchase,250000,700,Louisiana,No,Yes,14
Lender 258,ReFi,290000,700,Rhode Island,Yes,No,23
Lender 374,ReFi,280000,690,Nebraska,Yes,Yes,29
Lender 193,Auto,280000,710,Mississippi,No,No,40
Lender 249,Purchase,270000,630,South Carolina,Yes,Yes,8
Lender 150,Auto,280000,700,Kansas,No,Yes,8
Lender 249,Home Equity,300000,660,Colorado,No,No,16
Lender 34,Purchase,270000,730,Alabama,No,Yes,37
Lender 21,Auto,300000,730,Connecticut,No,No,33
Lender 231,Auto,290000,660,Tennessee,Yes,No,11
Lender 317,Auto,260000,640,Montana,No,Yes,41
Lender 247,Purchase,320000,680,New Hampshire,No,No,25
Lender 398,Home Equity,390000,610,South Carolina,No,No,17
Lender 8,Purchase,310000,700,Pennsylvania,Yes,Yes,15
Lender 390,ReFi,280000,680,Kentucky,Yes,No,44
Lender 369,Home Equity,330000,650,Kentucky,Yes,Yes,36
Lender 19,Auto,240000,720,Massachusetts,Yes,Yes,38
Lender 193,Auto,330000,710,South Dakota,Yes,Yes,8
Lender 22,ReFi,300000,600,Wyoming,No,No,33
Lender 99,Home Equity,330000,710,Arkansas,No,Yes,24
Lender 334,Auto,310000,660,Nebraska,Yes,No,22
Lender 344,Home Equity,240000,650,Indiana,No,Yes,14
Lender 27,Purchase,330000,570,Iowa,No,No,24
Lender 282,Auto,330000,670,Ohio,No,Yes,42
Lender 391,Home Equity,320000,640,Hawaii,No,Yes,35
Lender 12,ReFi,240000,710,California,No,No,9
Lender 228,Auto,270000,750,Ohio,Yes,Yes,30
Lender 378,Auto,340000,700,Utah,Yes,Yes,6
Lender 128,Auto,250000,610,California,Yes,No,8
Lender 300,Auto,350000,650,Tennessee,Yes,Yes,37
Lender 137,ReFi,270000,640,Pennsylvania,Yes,No,47
Lender 146,ReFi,280000,710,Virginia,Yes,Yes,48
Lender 170,Home Equity,320000,700,Indiana,No,No,36
Lender 340,Home Equity,310000,750,Nevada,No,No,32
Lender 245,Purchase,270000,650,Nebraska,Yes,Yes,32
Lender 50,Purchase,380000,680,New York,Yes,Yes,20
Lender 183,Purchase,330000,700,Idaho,No,No,3
Lender 127,ReFi,340000,590,Oregon,No,Yes,30
Lender 79,Purchase,330000,690,North Dakota,Yes,Yes,30
Lender 71,Home Equity,340000,720,Oregon,No,Yes,37
Lender 17,Auto,290000,690,New Hampshire,No,Yes,39
Lender 317,ReFi,280000,730,New Hampshire,No,No,13
Lender 88,ReFi,310000,770,Tennessee,No,Yes,12
Lender 319,Purchase,240000,650,Alabama,No,Yes,21
Lender 258,Purchase,290000,690,Oklahoma,No,Yes,4
Lender 336,Auto,330000,710,Mississippi,Yes,Yes,34
Lender 2,Home Equity,330000,700,North Carolina,No,Yes,15
Lender 95,ReFi,350000,630,Massachusetts,No,No,12
Lender 193,Auto,310000,750,Nebraska,Yes,No,41
Lender 392,Home Equity,330000,610,Georgia,No,No,36
Lender 230,Home Equity,350000,680,Idaho,No,No,14
Lender 259,ReFi,270000,760,California,No,Yes,35
Lender 354,Auto,320000,720,Rhode Island,Yes,No,46
Lender 126,Purchase,370000,550,Tennessee,No,No,21
Lender 72,ReFi,320000,710,Maine,No,No,23
Lender 174,ReFi,300000,640,Virginia,No,No,6
Lender 69,Purchase,290000,750,Minnesota,No,Yes,46
Lender 206,Auto,320000,640,Nebraska,Yes,No,0
Lender 170,Purchase,290000,620,Indiana,Yes,Yes,38
Lender 376,Purchase,330000,600,Oregon,Yes,Yes,17
Lender 185,Home Equity,280000,650,Tennessee,No,Yes,47
Lender 319,Home Equity,290000,620,Wyoming,No,Yes,14
Lender 290,Auto,280000,700,Indiana,No,No,19
Lender 163,Home Equity,410000,700,New Jersey,No,No,17
Lender 127,ReFi,330000,610,Alabama,Yes,Yes,50
Lender 156,Home Equity,240000,640,Colorado,Yes,Yes,5
Lender 342,Purchase,270000,670,Virginia,No,Yes,32
Lender 108,Home Equity,290000,690,Hawaii,Yes,No,21
Lender 174,Purchase,310000,790,Oregon,Yes,No,48
Lender 66,Purchase,330000,660,Wyoming,No,No,13
Lender 68,Purchase,330000,710,North Dakota,No,Yes,17
Lender 257,ReFi,330000,690,New Mexico,No,No,29
Lender 255,Home Equity,360000,690,Georgia,No,Yes,49
Lender 19,ReFi,290000,740,North Dakota,Yes,Yes,13
Lender 104,ReFi,300000,720,Wyoming,No,Yes,22
Lender 252,ReFi,280000,650,Iowa,No,Yes,14
Lender 296,ReFi,290000,680,Kentucky,Yes,No,16
Lender 156,ReFi,310000,690,Kansas,Yes,Yes,36
Lender 198,Auto,300000,670,Alabama,No,Yes,41
Lender 371,Purchase,340000,680,Maryland,No,Yes,0
Lender 3,ReFi,320000,690,Idaho,Yes,No,22
Lender 115,Home Equity,290000,730,Florida,No,Yes,36
Lender 250,Home Equity,270000,610,New Hampshire,Yes,Yes,47
Lender 188,ReFi,320000,650,Wisconsin,No,Yes,11
Lender 36,Purchase,330000,720,Connecticut,Yes,No,7
Lender 130,Home Equity,270000,680,Utah,No,Yes,2
Lender 158,ReFi,250000,680,Wyoming,Yes,No,33
Lender 166,Purchase,290000,700,Washington,Yes,No,29
Lender 83,ReFi,330000,770,Vermont,No,Yes,9
Lender 221,Home Equity,250000,620,Delaware,Yes,No,47
Lender 310,Auto,320000,700,Louisiana,Yes,Yes,28
Lender 59,Home Equity,340000,670,Delaware,No,No,29
Lender 67,Auto,340000,740,Virginia,Yes,Yes,34
Lender 256,ReFi,340000,710,Utah,No,No,34
Lender 189,Home Equity,290000,630,Kansas,No,No,0
Lender 188,Auto,290000,650,Missouri,No,No,8
Lender 108,Home Equity,270000,670,Georgia,No,Yes,12
Lender 70,ReFi,320000,730,South Carolina,Yes,No,22
Lender 43,ReFi,220000,690,California,No,Yes,7
Lender 135,Home Equity,290000,670,Connecticut,No,No,27
Lender 94,Purchase,280000,620,Missouri,No,No,26
Lender 156,ReFi,340000,640,Tennessee,Yes,No,2
Lender 337,ReFi,300000,590,Georgia,No,No,37
Lender 101,Auto,290000,710,Nevada,Yes,Yes,43
Lender 160,Auto,270000,730,Oklahoma,No,Yes,26
Lender 135,Auto,320000,620,Wisconsin,No,Yes,46
Lender 12,Home Equity,210000,760,Arizona,Yes,No,23
Lender 162,Purchase,340000,480,West Virginia,Yes,Yes,27
Lender 272,Auto,280000,620,Ohio,No,No,36
Lender 168,Auto,280000,700,Virginia,Yes,Yes,10
Lender 57,ReFi,330000,630,Colorado,No,Yes,8
Lender 281,Purchase,340000,590,Mississippi,No,No,23
Lender 152,ReFi,340000,670,Mississippi,No,No,8
Lender 296,Auto,320000,600,Arizona,Yes,No,50
Lender 54,Auto,380000,710,Idaho,Yes,No,27
Lender 199,ReFi,310000,670,Alabama,Yes,No,27
Lender 79,Purchase,280000,630,Tennessee,Yes,No,33
Lender 225,Purchase,250000,650,Michigan,Yes,No,34
Lender 139,Purchase,290000,710,Colorado,Yes,No,2
Lender 384,Home Equity,280000,680,Rhode Island,No,No,5
Lender 379,Purchase,280000,660,Hawaii,Yes,No,15
Lender 240,Auto,280000,650,Iowa,No,No,19
Lender 391,Home Equity,330000,660,Kansas,Yes,Yes,34
Lender 52,Purchase,340000,710,Indiana,No,Yes,30
Lender 358,Home Equity,310000,680,Hawaii,Yes,Yes,15
Lender 329,Auto,310000,720,Tennessee,Yes,No,22
Lender 310,Auto,330000,710,Idaho,Yes,Yes,0
Lender 375,Purchase,290000,690,South Dakota,Yes,Yes,6
Lender 61,Auto,370000,740,Arkansas,No,Yes,18
Lender 255,Home Equity,280000,650,New Hampshire,Yes,Yes,26
Lender 217,ReFi,320000,730,Mississippi,No,Yes,48
Lender 155,Home Equity,270000,620,Utah,Yes,Yes,11
Lender 26,ReFi,300000,560,Minnesota,No,No,47
Lender 121,ReFi,340000,760,Nebraska,Yes,Yes,1
Lender 269,ReFi,290000,630,Tennessee,Yes,No,5
Lender 254,Home Equity,320000,600,Montana,Yes,Yes,42
Lender 206,Purchase,260000,690,Tennessee,No,Yes,25
Lender 122,ReFi,310000,570,Texas,No,No,40
Lender 129,Home Equity,290000,640,Wisconsin,No,No,15
Lender 81,Home Equity,350000,650,South Dakota,No,Yes,12
Lender 68,Auto,310000,720,Hawaii,No,No,29
Lender 395,Auto,280000,590,South Dakota,Yes,Yes,12
Lender 74,Home Equity,300000,690,Virginia,Yes,No,16
Lender 215,Home Equity,290000,690,Utah,Yes,No,47
Lender 378,Home Equity,270000,760,South Dakota,Yes,No,41
Lender 328,ReFi,310000,680,Kansas,No,No,15
Lender 207,Auto,300000,680,Tennessee,Yes,Yes,25
Lender 292,Home Equity,310000,720,Utah,Yes,No,10
Lender 232,ReFi,360000,640,New Mexico,Yes,Yes,26
Lender 356,Purchase,280000,680,New Mexico,No,Yes,46
Lender 235,ReFi,330000,700,Arizona,No,No,1
Lender 335,Home Equity,260000,780,Rhode Island,No,Yes,40
Lender 10,ReFi,270000,630,Rhode Island,Yes,No,40
Lender 27,Purchase,320000,630,Utah,Yes,Yes,47
Lender 286,Purchase,250000,720,Missouri,Yes,No,43
Lender 50,Auto,380000,700,Nebraska,No,No,11
Lender 329,Home Equity,210000,700,North Dakota,No,No,15
Lender 245,Auto,290000,720,Washington,No,No,2
Lender 167,Purchase,300000,680,Texas,Yes,No,22
Lender 170,ReFi,360000,630,Indiana,Yes,No,18
Lender 280,ReFi,320000,670,Kansas,Yes,Yes,49
Lender 63,Home Equity,320000,630,Arkansas,Yes,Yes,1
Lender 287,Home Equity,190000,750,Washington,Yes,No,10
Lender 393,ReFi,290000,690,Massachusetts,Yes,Yes,31
Lender 261,Purchase,290000,650,Missouri,Yes,No,37
Lender 211,Home Equity,300000,610,Florida,No,Yes,39
Lender 146,Auto,340000,740,North Dakota,Yes,No,23
Lender 303,Purchase,270000,620,Nebraska,Yes,No,16
Lender 361,Home Equity,240000,660,Arkansas,No,Yes,49
Lender 241,Auto,270000,600,South Dakota,Yes,Yes,41
Lender 264,Purchase,290000,730,New Mexico,Yes,Yes,34
Lender 82,Auto,240000,700,Georgia,Yes,No,21
Lender 269,ReFi,310000,670,Montana,Yes,No,6
Lender 46,Auto,260000,730,New York,Yes,Yes,18
Lender 218,Home Equity,310000,640,Indiana,No,No,15
Lender 379,Home Equity,270000,620,Kansas,Yes,Yes,2
Lender 214,Purchase,330000,610,Kentucky,No,Yes,50
Lender 360,Purchase,280000,640,Colorado,No,No,9
Lender 354,Home Equity,330000,670,Maryland,Yes,Yes,33
Lender 176,Auto,280000,710,Connecticut,No,Yes,8
Lender 15,Purchase,320000,670,Tennessee,No,Yes,3
Lender 120,Auto,230000,640,Louisiana,Yes,No,48
Lender 200,ReFi,320000,730,Nevada,Yes,Yes,41
Lender 186,Auto,300000,670,West Virginia,No,No,8
Lender 17,Auto,280000,630,New York,No,Yes,49
Lender 238,Home Equity,320000,620,Utah,No,No,13
Lender 57,Home Equity,360000,650,Maryland,No,Yes,21
Lender 20,ReFi,270000,620,Missouri,Yes,No,30
Lender 264,ReFi,220000,680,Alaska,Yes,No,1
Lender 57,Purchase,350000,730,Illinois,Yes,Yes,21
Lender 150,Purchase,270000,660,Louisiana,No,No,17
Lender 117,ReFi,260000,590,Idaho,No,Yes,50
Lender 203,Auto,300000,600,Michigan,Yes,Yes,49
Lender 397,ReFi,370000,640,Colorado,Yes,Yes,20
Lender 271,Auto,330000,670,Texas,No,No,8
Lender 328,Auto,250000,590,Oregon,No,No,14
Lender 15,Auto,310000,720,Nebraska,No,Yes,19
Lender 73,Auto,330000,660,Kentucky,Yes,No,46
Lender 32,Home Equity,290000,670,Colorado,Yes,Yes,33
Lender 196,Home Equity,240000,680,Minnesota,Yes,Yes,20
Lender 145,ReFi,290000,630,Florida,No,Yes,27
Lender 95,ReFi,290000,670,Vermont,Yes,No,36
Lender 217,Home Equity,290000,690,New York,No,Yes,24
Lender 249,Purchase,260000,680,Oregon,Yes,No,45
Lender 395,Purchase,300000,720,Idaho,No,No,2
Lender 158,Home Equity,300000,680,Connecticut,Yes,Yes,9
Lender 141,Auto,260000,630,Ohio,No,Yes,27
Lender 390,ReFi,250000,560,Louisiana,No,No,14
Lender 99,Purchase,300000,680,West Virginia,No,Yes,21
Lender 263,ReFi,350000,740,Oregon,Yes,No,24
Lender 239,ReFi,330000,610,Minnesota,No,No,45
Lender 223,Purchase,320000,730,Florida,Yes,Yes,29
Lender 90,ReFi,250000,630,Indiana,No,Yes,17
Lender 389,ReFi,310000,690,Georgia,Yes,Yes,37
Lender 242,Auto,250000,690,Utah,Yes,No,45
Lender 238,Auto,250000,700,Colorado,No,Yes,10
Lender 232,Purchase,320000,680,South Carolina,Yes,No,29
Lender 21,Home Equity,280000,650,Minnesota,Yes,No,10
Lender 384,Purchase,290000,700,Rhode Island,Yes,No,2
Lender 136,Purchase,320000,690,New York,Yes,No,39
Lender 227,Purchase,270000,610,West Virginia,Yes,No,43
Lender 327,Home Equity,330000,720,California,Yes,Yes,28
Lender 37,Purchase,330000,660,South Carolina,Yes,No,5
Lender 294,Home Equity,310000,690,Virginia,Yes,No,38
Lender 264,Purchase,240000,710,Connecticut,No,No,50
Lender 180,Auto,290000,660,Alabama,Yes,No,44
Lender 283,Home Equity,310000,650,Delaware,Yes,Yes,11
Lender 292,ReFi,230000,630,Kansas,No,No,38
Lender 142,Home Equity,300000,620,West Virginia,Yes,No,23
Lender 295,ReFi,320000,770,Pennsylvania,Yes,Yes,49
Lender 181,Purchase,350000,730,Kentucky,No,No,10
Lender 68,Purchase,270000,700,Louisiana,Yes,No,38
Lender 124,ReFi,260000,700,Kansas,Yes,Yes,14
Lender 400,ReFi,270000,710,Hawaii,Yes,Yes,19
Lender 53,Purchase,250000,590,Oklahoma,Yes,No,23
Lender 372,Auto,350000,600,Florida,No,No,18
Lender 13,Purchase,310000,610,Alaska,No,Yes,46
Lender 399,Purchase,320000,580,Alabama,No,No,32
Lender 260,ReFi,320000,680,Virginia,Yes,Yes,5
Lender 180,Home Equity,260000,730,Tennessee,No,No,10
Lender 19,Home Equity,310000,630,Missouri,No,Yes,28
Lender 201,Purchase,270000,580,South Carolina,No,No,20
Lender 341,ReFi,270000,590,Minnesota,No,Yes,3
Lender 271,Home Equity,240000,690,West Virginia,Yes,Yes,20
Lender 126,ReFi,280000,670,New Jersey,No,Yes,21
Lender 199,Purchase,310000,620,Idaho,Yes,Yes,0
Lender 60,Auto,340000,660,Oklahoma,Yes,No,35
Lender 32,Purchase,270000,740,Arizona,No,No,38
Lender 399,Auto,280000,660,New Jersey,No,Yes,15
Lender 59,Purchase,250000,680,Illinois,Yes,Yes,44
Lender 305,ReFi,310000,650,West Virginia,Yes,Yes,47
Lender 306,ReFi,320000,670,North Dakota,Yes,Yes,43
Lender 85,Home Equity,220000,690,New Hampshire,Yes,Yes,15
Lender 24,Purchase,280000,730,North Carolina,No,No,43
Lender 40,Home Equity,340000,760,New Mexico,No,No,41
Lender 349,Home Equity,270000,620,Tennessee,No,Yes,9
Lender 51,ReFi,300000,720,Virginia,No,Yes,33
Lender 7,Home Equity,280000,630,Mississippi,No,Yes,17
Lender 61,Purchase,310000,640,Colorado,No,Yes,40
Lender 207,Auto,250000,600,Delaware,Yes,Yes,43
Lender 255,Auto,310000,710,Delaware,Yes,No,48
Lender 138,Home Equity,260000,680,Oregon,Yes,No,27
Lender 144,Home Equity,340000,640,Wisconsin,Yes,No,33
Lender 360,Home Equity,330000,650,Colorado,No,No,12
Lender 337,Purchase,290000,660,Ohio,Yes,Yes,1
Lender 97,Purchase,250000,690,Alaska,No,No,34
Lender 251,Home Equity,260000,690,Montana,Yes,No,6
Lender 162,Home Equity,270000,660,New York,No,Yes,7
Lender 197,Auto,320000,660,Florida,No,Yes,47
Lender 88,Home Equity,370000,730,Alabama,No,Yes,30
Lender 240,Purchase,320000,580,Colorado,Yes,No,8
Lender 159,ReFi,270000,710,Montana,No,Yes,39
Lender 275,Home Equity,320000,750,California,No,No,3
Lender 287,Purchase,360000,550,Kansas,No,No,14
Lender 325,Home Equity,290000,590,Kansas,No,Yes,1
Lender 76,ReFi,260000,700,Maine,No,Yes,18
Lender 63,Home Equity,260000,650,Ohio,Yes,No,11
Lender 227,Home Equity,330000,640,Arizona,No,Yes,9
Lender 271,Purchase,330000,670,Nevada,Yes,No,28
Lender 344,Auto,340000,640,Washington,Yes,Yes,45
Lender 153,Auto,330000,740,Maine,No,No,20
Lender 234,Auto,280000,730,Colorado,Yes,No,7
Lender 230,Purchase,270000,690,Maryland,No,No,15
Lender 362,Purchase,300000,710,Arkansas,Yes,No,17
Lender 158,Home Equity,230000,770,Illinois,Yes,No,39
Lender 323,Purchase,320000,710,Arkansas,Yes,Yes,23
Lender 287,ReFi,290000,670,Minnesota,Yes,Yes,23
Lender 51,Auto,290000,590,Utah,Yes,No,40
Lender 45,Home Equity,320000,710,Kansas,No,Yes,23
Lender 294,ReFi,310000,690,Virginia,Yes,Yes,2
Lender 5,Home Equity,300000,690,Maine,No,Yes,17
Lender 149,Home Equity,310000,610,Utah,Yes,Yes,26
Lender 76,ReFi,330000,620,Kansas,No,Yes,22
Lender 291,ReFi,290000,590,New Mexico,No,No,45
Lender 25,ReFi,280000,730,Indiana,Yes,No,22
Lender 107,Auto,300000,730,West Virginia,No,No,45
Lender 383,Home Equity,290000,700,Louisiana,Yes,No,45
Lender 264,Auto,330000,700,New Mexico,Yes,Yes,26
Lender 219,Auto,280000,660,Illinois,No,No,16
Lender 172,Home Equity,280000,730,Indiana,Yes,No,42
Lender 50,Purchase,280000,710,Delaware,Yes,Yes,8
Lender 121,ReFi,310000,680,Nevada,No,No,20
Lender 79,Home Equity,330000,640,Connecticut,No,Yes,49
Lender 170,ReFi,290000,530,Colorado,No,Yes,48
Lender 336,ReFi,320000,690,Montana,Yes,No,31
Lender 181,Purchase,340000,640,Nebraska,Yes,No,42
Lender 74,ReFi,300000,610,Virginia,Yes,Yes,49
Lender 230,Purchase,260000,690,Alaska,No,Yes,7
Lender 75,Purchase,290000,620,South Carolina,No,No,14
Lender 157,Auto,300000,630,Minnesota,Yes,No,19
Lender 76,Purchase,310000,660,New Mexico,Yes,No,30
Lender 239,ReFi,280000,710,Massachusetts,No,Yes,36
Lender 365,Home Equity,310000,650,Virginia,No,Yes,8
Lender 258,Auto,300000,620,Idaho,Yes,No,23
Lender 217,Home Equity,290000,610,Michigan,No,Yes,45
Lender 73,Auto,290000,680,Montana,Yes,No,5
Lender 83,Purchase,300000,690,New Jersey,No,Yes,31
Lender 363,Home Equity,270000,770,Rhode Island,No,Yes,35
Lender 381,Purchase,330000,760,Washington,No,Yes,18
Lender 259,ReFi,270000,620,New York,Yes,Yes,2
Lender 82,Auto,320000,710,Texas,No,No,28
Lender 241,Home Equity,290000,690,New Mexico,No,No,28
Lender 287,Auto,280000,660,Wisconsin,Yes,Yes,23
Lender 316,ReFi,260000,630,New Jersey,Yes,Yes,40
Lender 294,Auto,360000,650,Missouri,Yes,No,17
Lender 171,Auto,290000,680,Montana,No,No,3
Lender 118,Home Equity,290000,660,New Jersey,No,Yes,0
Lender 329,Auto,230000,660,Alaska,No,Yes,10
Lender 282,Home Equity,270000,670,Massachusetts,No,Yes,49
Lender 68,Purchase,270000,720,California,No,Yes,4
Lender 282,Home Equity,300000,650,Wisconsin,Yes,No,45
Lender 315,ReFi,300000,670,New York,Yes,No,10
Lender 49,Purchase,300000,580,Oklahoma,No,Yes,30
Lender 136,Purchase,260000,640,Arkansas,Yes,No,13
Lender 241,Purchase,270000,660,Maryland,Yes,No,36
Lender 115,Purchase,290000,670,Indiana,No,Yes,4
Lender 57,ReFi,290000,720,Oklahoma,No,No,30
Lender 221,Home Equity,320000,580,Oklahoma,No,Yes,0
Lender 51,Purchase,280000,630,South Dakota,Yes,Yes,44
Lender 207,Purchase,290000,690,Utah,Yes,Yes,10
Lender 334,Auto,240000,720,Maryland,Yes,No,23
Lender 21,Purchase,290000,630,South Carolina,No,Yes,43
Lender 272,Auto,270000,680,Pennsylvania,No,No,30
Lender 29,Purchase,320000,600,Illinois,No,No,41
Lender 67,ReFi,320000,590,North Carolina,No,Yes,36
Lender 246,Purchase,340000,730,Indiana,No,Yes,13
Lender 75,Purchase,270000,670,Virginia,No,No,10
Lender 93,ReFi,310000,700,Kansas,No,Yes,38
Lender 308,Home Equity,320000,750,Nebraska,Yes,Yes,46
Lender 223,Purchase,330000,680,Nebraska,No,Yes,34
Lender 206,Purchase,290000,660,Oklahoma,No,Yes,38
Lender 39,Purchase,320000,620,Tennessee,Yes,No,35
Lender 247,Home Equity,290000,720,Arkansas,Yes,Yes,15
Lender 185,Auto,310000,750,Florida,No,Yes,38
Lender 283,ReFi,280000,670,Delaware,Yes,No,10
Lender 317,ReFi,320000,710,Indiana,No,No,6
Lender 17,Home Equity,280000,660,North Dakota,No,Yes,26
Lender 305,Purchase,400000,590,South Dakota,Yes,No,28
Lender 233,ReFi,370000,610,North Dakota,No,Yes,39
Lender 288,Auto,310000,690,Virginia,Yes,Yes,12
Lender 355,Auto,300000,650,New Jersey,No,No,34
Lender 351,Purchase,320000,690,North Carolina,No,No,3
Lender 17,Auto,300000,680,Georgia,No,Yes,23
Lender 263,Home Equity,310000,570,South Dakota,Yes,Yes,26
Lender 321,Purchase,310000,600,New Hampshire,Yes,Yes,1
